epoch,accuracy,loss,val_accuracy,val_loss
0,0.5133333206176758,85418.2578125,0.05999999865889549,35182.96875
1,0.6733333468437195,40039.3046875,0.0,54304.19921875
2,0.6844444274902344,31756.1171875,0.0,32936.90625
3,0.6311110854148865,32749.431640625,0.0,42619.109375
4,0.6200000047683716,28695.08203125,0.0,46262.0
0,0.5444444417953491,49236.90234375,0.0,19370.724609375
1,0.5955555438995361,40508.37890625,0.0,28361.89453125
2,0.5933333039283752,30021.091796875,0.3199999928474426,25988.177734375
3,0.7022222280502319,27530.115234375,0.7599999904632568,21256.1015625
4,0.7244444489479065,28156.494140625,0.9200000166893005,18130.697265625
0,0.5998715758323669,37330.84765625,0.8670520186424255,6013.04541015625
0,0.6165703535079956,39577.1640625,0.7514451146125793,4553.275390625
1,0.6390494704246521,30923.650390625,0.1387283205986023,7834.16064453125
2,0.6589595079421997,29105.22265625,0.12138728052377701,5550.58447265625
0,0.6319845914840698,36173.8359375,0.6705202460289001,6656.203125
1,0.6795119047164917,27034.505859375,0.8901734352111816,48146.76171875
2,0.6692357063293457,24496.998046875,0.8670520186424255,11082.6982421875
3,0.6865767240524292,24942.236328125,0.7572254538536072,6354.962890625
4,0.7321772575378418,21339.6171875,0.8786126971244812,9034.0263671875
0,0.5728965997695923,41779.99609375,0.9768785834312439,23328.4921875
1,0.6191393733024597,27877.791015625,0.10982658714056015,47135.53515625
2,0.6242774724960327,25965.33203125,0.7456647157669067,5963.23779296875
3,0.6332691311836243,24523.958984375,0.8323699235916138,20333.908203125
4,0.6724470257759094,22798.19921875,0.7745664715766907,22275.615234375
0,0.5902376174926758,38128.3828125,0.19075144827365875,18955.783203125
1,0.6589595079421997,25259.900390625,0.6820809245109558,10161.8251953125
0,0.6087162494659424,24489.642578125,0.6221590638160706,23214.28125
1,0.6688773036003113,15927.353515625,0.6775568127632141,7281.7919921875
2,0.7025106549263,13114.3408203125,0.6988636255264282,6106.59228515625
3,0.7216169238090515,10609.3173828125,0.703125,3898.3017578125
4,0.7157745361328125,9678.1650390625,0.7428977489471436,4161.41748046875
0,0.6192957758903503,25463.912109375,0.5795454382896423,13512.8212890625
1,0.6504026651382446,16430.23828125,0.7272727489471436,13899.26953125
2,0.6635085940361023,12131.8046875,0.6889204382896423,3913.1708984375
3,0.6835622787475586,10608.416015625,0.6818181872367859,3869.855712890625
4,0.7118269205093384,9523.84375,0.7855113744735718,4403.14501953125
0,0.42046672105789185,17417.080078125,0.6088631749153137,16250.9384765625
1,0.5694711804389954,15339.533203125,0.8535645604133606,12784.66015625
2,0.7356026768684387,11417.93359375,0.8824662566184998,8716.390625
3,0.8565617799758911,7078.7744140625,0.9267822504043579,4823.93017578125
4,0.9162920117378235,3694.93310546875,0.9942196607589722,1736.7017822265625
0,0.8175979256629944,4815.38330078125,0.9826589822769165,1111.279296875
1,0.8676942586898804,3695.087646484375,0.9826589822769165,1709.8968505859375
2,0.8863198161125183,3328.943359375,0.9826589822769165,857.78125
3,0.9210019111633301,3012.15478515625,0.9826589822769165,760.0443725585938
4,0.9055876731872559,2920.515625,0.9826589822769165,708.6699829101562
